Id,Level,Name,Desc,EffectID,ShaderID,MaterialId,Intensity,IsStackable,IsCountable,MaxStackNum,IsMaxStackOnCreate,MaxStackNewBuffID,RemoveOnCast,ActiveBegionAttribOnCast,Count,Interval,DotType,TriggerHP,Exclude,SrcExclude,FunctionExclude,DescType,DescMSec,DescEffect,DescMinTick,DescMaxCount,IsSave,DeleteOnDeath,DeleteOnSafe,DeleteOnBattleEnd,DeleteOnLeaveScene,DeleteOnNoFighting,DeleteOnSpecialState,DeleteOnSpecialRun,IsOffLineClock,FindTargetsRelasion,FindTargetsCountMax,FindTargetsRadius,FindTargetsCharacterType,DispelType,NeedAttrPointPercent,NeedAttrPointID,BeginAttrib1,BeginValue1A,BeginValue1B,BeginAttrib2,BeginValue2A,BeginValue2B,BeginAttrib3,BeginValue3A,BeginValue3B,BeginAttrib4,BeginValue4A,BeginValue4B,BeginAttrib5,BeginValue5A,BeginValue5B,BeginAttrib6,BeginValue6A,BeginValue6B,ActiveAttrib1,ActiveValue1A,ActiveValue1B,ActiveAttrib2,ActiveValue2A,ActiveValue2B,ActiveAttrib3,ActiveValue3A,ActiveValue3B,EndTimeAttrib1,EndTimeValue1A,EndTimeValue1B,EndTimeAttrib2,EndTimeValue2A,EndTimeValue2B,EndTimeAttrib3,EndTimeValue3A,EndTimeValue3B,BeClearAttrib1,BeClearValue1A,BeClearValue1B,BeClearAttrib2,BeClearValue2A,BeClearValue2B,BeClearAttrib3,BeClearValue3A,BeClearValue3B,BeDispelAttrib1,BeDispelValue1A,BeDispelValue1B,BeShieldAttrib1,BeShieldValue1A,BeShieldValue1B,BeDelAttrib1,BeDelValue1A,BeDelValue1B,IconAtlas,IconName,ShowDesc,ShowType,ShowValue,SyncToSelfClient,SyncToOtherClient,SrcVisible
1,1,test_buff, ,8,1,0,1,0,0,1,0,0,0,0,1,10000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,0,0,,0,0,dodgerate_effect_p,100000,0,hitrate_effect_p,100000,0,critical_damage_effect_p,100000,0,criticalrate_effect_p,100000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0
2,1,系统无敌,,1,0,0,1,0,0,1,0,0,0,0,1,60000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,0,0,,0,0,system_shield,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
3,1,加速BUFF,跑图用无敌BUFF,0,0,0,0,0,0,0,0,0,0,0,1,999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,runspeed_p,300000,0,add_damage_p1,10000000,0,system_shield,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
4,1,系统用加速CDbuff,系统用加速CDbuff,0,0,0,0,0,0,0,0,0,0,0,1,9999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,times_cd_by_skill_subtype,0,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
6,1,通用后仰效果,,0,0,0,1,0,0,1,0,0,0,0,1,200,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,0,0,3|16,0,0,at_sure_state_hypsokinesis,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
7,1,眩晕,通用1秒眩晕buff,129,0,0,1,1,0,30,0,0,0,0,1,1000,0,0,1,0,0,1,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|13,0,0,at_sure_state_stun,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Xuanyun,[d73e1a]处于眩晕状态[-],1,0,1,1,0
8,1,眩晕,通用2秒眩晕buff,129,0,0,1,1,0,30,0,0,0,0,1,2000,0,0,1,0,0,1,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|13,0,0,at_sure_state_stun,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Xuanyun,[d73e1a]处于眩晕状态[-],1,0,1,1,0
9,1,眩晕,通用2秒眩晕buff,129,0,0,1,1,0,30,0,0,0,0,1,2000,0,0,1,0,0,1,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|13,0,0,at_sure_state_stun,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Xuanyun,[d73e1a]处于眩晕状态[-],1,0,1,1,0
9,2,眩晕,通用2.1秒眩晕buff,129,0,0,1,1,0,30,0,0,0,0,1,2100,0,0,1,0,0,1,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|13,0,0,at_sure_state_stun,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Xuanyun,[d73e1a]处于眩晕状态[-],1,0,1,1,0
9,3,眩晕,通用2.2秒眩晕buff,129,0,0,1,1,0,30,0,0,0,0,1,2200,0,0,1,0,0,1,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|13,0,0,at_sure_state_stun,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Xuanyun,[d73e1a]处于眩晕状态[-],1,0,1,1,0
